Country Name;Country Code;Series Name;Series Code;1960 [YR1960];1961 [YR1961];1962 [YR1962];1963 [YR1963];1964 [YR1964];1965 [YR1965];1966 [YR1966];1967 [YR1967];1968 [YR1968];1969 [YR1969];1970 [YR1970];1971 [YR1971];1972 [YR1972];1973 [YR1973];1974 [YR1974];1975 [YR1975];1976 [YR1976];1977 [YR1977];1978 [YR1978];1979 [YR1979];1980 [YR1980];1981 [YR1981];1982 [YR1982];1983 [YR1983];1984 [YR1984];1985 [YR1985];1986 [YR1986];1987 [YR1987];1988 [YR1988];1989 [YR1989];1990 [YR1990];1991 [YR1991];1992 [YR1992];1993 [YR1993];1994 [YR1994];1995 [YR1995];1996 [YR1996];1997 [YR1997];1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016]
Norway;NOR;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;5,900000095;5,699999809;5,300000191;4,800000191;4,599999905;4,400000095;4,300000191;4,199999809;4,099999905;4;4;4;4;3,900000095;3,799999952;;;;;4,2;4,1;3,9;3,5;3,3;3,3;3,3;;;;;
Norway;NOR;Birth rate, crude (per 1,000 people);SP.DYN.CBRT.IN;17,3;17,3;17,1;17,3;17,7;17,8;17,9;17,6;17,6;17,6;16,7;16,8;16,3;15,5;15;14,1;13,3;12,6;12,8;12,7;12,5;12,4;12,5;12,1;12,1;12,3;12,6;12,9;13,7;14;14,4;14,3;14;13,8;13,9;13,8;13,9;13,6;13,2;13,3;13,2;12,6;12,2;12,4;12,4;12,3;12,6;12,4;12,7;12,8;12,6;12,2;12;11,6;11,5;;
Norway;NOR;Population growth (annual %);SP.POP.GROW;0,839368835;0,794353923;0,803401557;0,756123516;0,755402814;0,777327077;0,798379882;0,836536532;0,840602106;0,814728249;0,726516019;0,701293381;0,764803002;0,69950483;0,620349415;0,551888897;0,46901392;0,42266132;0,381788583;0,34056557;0,321225576;0,344079656;0,36727828;0,331060292;0,282202673;0,2994715;0,356688644;0,468049547;0,537922759;0,412807535;0,344151413;0,476503585;0,577180268;0,59522933;0,569388228;0,51912552;0,506881683;0,542219936;0,595410343;0,684759433;0,649044821;0,506046911;0,539290805;0,586532692;0,59093094;0,681072964;0,805392739;1,034734515;1,246333015;1,261127289;1,24566618;1,297189391;1,313440989;1,209141589;1,127736677;1,135948168;
Norway;NOR;Population, total;SP.POP.TOTL;3581239;3609800;3638918;3666537;3694339;3723168;3753012;3784539;3816486;3847707;3875763;3903039;3933004;3960612;3985258;4007313;4026152;4043205;4058671;4072517;4085620;4099702;4114787;4128432;4140099;4152516;4167354;4186905;4209488;4226901;4241473;4261732;4286401;4311991;4336613;4359184;4381336;4405157;4431464;4461913;4490967;4513751;4538159;4564855;4591910;4623291;4660677;4709153;4768212;4828726;4889252;4953088;5018573;5079623;5137232;5195921;
Norway;NOR;Population, female (% of total);SP.POP.TOTL.FE.ZS;50,18302542;50,17924453;50,17768264;50,17858068;50,18250403;50,18964492;50,20010602;50,21335266;50,22832474;50,24366005;50,25849397;50,27230937;50,28544767;50,29879751;50,31371956;50,33109756;50,35089336;50,37259491;50,39600323;50,42080034;50,44652513;50,47337392;50,5008332;50,52694092;50,54909088;50,56558564;50,57538532;50,57914642;50,57887046;50,57741001;50,57675324;50,57769544;50,5793951;50,58037788;50,57843769;50,57211497;50,56004958;50,54292382;50,5236921;50,50646282;50,49350205;50,48655487;50,48320124;50,47655673;50,45747216;50,41990421;50,36295519;50,29021003;50,205831;50,11563294;50,02442116;49,93242759;49,84067526;49,75526463;49,68329264;49,62923388;
